Rank	Russian	English
896	признавать	admit
897	прислушиваться	listen, lend ear, cock an ear
898	скрывать	hide, conceal, keep to oneself, cover
899	трудно	difficult
900	молчание	silence
901	расположение	disposition, arrangement, situation, location, position, layout, favour, liking, inclination, propensity, bias, taste, mood
902	сено	hay
903	продолжаться	continue, last, go on, be in progress
904	выразить	express, convey, voice, give voice
905	воображение	imagination
906	оказаться	to turn out to be, to be found to be
907	противный	disgusting
908	извозчик	carrier, cabman, cabby, drayman, carter, waggoner, cab
909	фраза	phrase, sentence
910	радоваться	rejoice
911	удержать	retain, hold, not let fast, hold back, keep, suppress, deduct, keep back
912	внутренний	inner, interior; domestic
913	отыскивать	find, track down, run to earth, look for, search
914	гадкий	nasty, foul, bad, naughty, vile
915	сердито	angrily
916	вглядываться	peer
917	определенный	specific
918	неделя	week
919	удивляться	wonder
920	пальто	coat, topcoat
921	зайти	go in, call in at, drop in, pop in
922	беспрестанно	continually, incessantly
923	прошедшее	
924	выше	above, higher, over, beyond
925	менее	less
926	сзади	from behind, from the rear, behind
927	комиссия	commission, committee
928	ссора	argument
929	задуматься	consider, ponder; wonder
930	событие	event, occurrence, incident
931	скрыть	hide, conceal, dissemble, keep back, keep to oneself, cover
932	встретиться	meet, encounter, see, be found, be met with
933	обратить	turn, direct, pay
934	жалость	compassion, pity
935	рубашка	shirt, chemise, jacket, casing, back
936	получать	receive, get, obtain
937	искусство	art, skill, proficiency, craftsmanship
938	останавливаться	stop, come to a stop, stand still, pause, pull up, put up, dwell, decide in favour
939	подниматься	rise, climb, ascend
940	поезд	train
941	невозможный	impossible, insufferable, the impossible, impossible thing
942	открытый	open, overt, frank, undisguised
943	выражать	express, convey, voice, give voice
944	московский	Moscow
945	намерение	intention, purpose
946	вечером	in the evening
947	перейти	get across, get over, cross, get, pass on, pass, turn; convert
948	служить	serve
949	весна	spring, springtime
950	борьба	struggle, fight, conflict, combat; wrestling
951	дожидаться	wait, await
952	плакать	weep, cry, mourn
953	работник	worker, farm-hand
954	следующий	next, following
955	торопиться	hurry, be in a hurry, hasten
956	обман	deception, trickery, fraud, lies, delusion, illusion
957	несчастливый	unfortunate, ill-fated, ill-starred, luckless
958	диван	sofa, couch, settee
959	телеграмма	telegram, wire, cable
960	вслед	following, after
961	окончить	finish, end; graduate
962	форма	form, shape, mound, uniform, regimentals
963	притворяться	pretend, feign, dissemble, simulate, sham; to shut, close
964	тихий	quiet, low, silent, still, soft; peaceful, unhurried, calm
965	удерживать	retain, hold, not let fast, hold back, keep, suppress, deduct, keep back
966	ради	for the sake of
967	выговорить	articulate, pronounce, utter, tell off, reprimand, lecture, stipulate
968	успокоить	calm, quiet, soothe, assuage, appease, reassure; calm down
969	интересоваться	be interested, take an interest, care
970	взволновать	agitate, trouble, excite, stir, disturb, worry, alarm, upset, ruffle
971	история	history, story, event
972	объяснять	explain, account
973	туда	there
974	покрыть	cover, roof, thatch, tile, coat, trump, scold, rail
975	зима	winter
976	англичанин	Englishman, the English, the British
977	поездка	journey, trip, excursion, outing, tour
978	дойти	reach, arrive, get to, amount
979	благодарить	thank
980	испытать	try, test; experience, feel
981	сей	This
982	потерять	lose, shed
983	досадный	annoying, vexatious, disappointing
984	ревность	jealousy, zeal, fervency
985	личный	personal, private
986	ружье	gun, hand-gun, rifle
987	небо	sky, heaven
988	мадам	madam, governess
989	спорить	argue, dispute, have an argument, debate, discuss, bet, wager
990	косить	mow, cut, twist, slant, squint, look asquint
991	обманывать	deceive, cheat, trick, swindle
992	зеркало	looking-glass, glass, mirror, speculum
993	участие	participation, collaboration, share, sharing, sympathy, interest, concern
994	просиять	come out, begin to shine, shine, brighten, light up, beam
995	доложить	to report
996	одеваться	dress
997	производить	produce, generate; execute, carry out, implement
998	выбрать	choose, select, pick out, elect, take out, take everything out, haul, haul in, pull
999	ложь	lie, falsehood
1000	едва	hardly, only just, scarcely, just, barely
1001	отвращение	aversion, repugnance, disgust, loathing
1002	злоба	spite, anger
1003	слыхать	hear
1004	родный	
1005	род	generation, birth, origin, stock, family, race; (taxonomy) genus
1006	холодно	it is cold, coldly
1007	впереди	in front, ahead, before, in front of
1008	подтвердить	confirm, corroborate
1009	собраться	gather, assemble; be going to, intend to
1010	обдумать	consider, think over
1011	водка	vodka
1012	признак	sign, indication
1013	узнавать	recognize
1014	положим	let us assume
1015	повод	reason
1016	гордость	pride
1017	светский	secular, temporal, worldly
1018	подъехать	arrive
1019	сметь	dare
1020	испортить	spoil, corrupt, mar ruin
1021	свеча	candle, light, taper, candle-power, suppository
1022	несомненно	undoubtedly, doubtless, beyond all question, without question
1023	щека	cheek
1024	вина	fault, guilt
1025	театр	theatre, play-house, dramatic works, plays
1026	равнодушный	indifferent
1027	привычный	habitual, usual, accustomed
1028	слава	glory, fame, name, reputation
1029	платок	shawl, handkerchief, headscarf
1030	купец	merchant
1031	шутка	joke, jet, trick, prank, jest, farce
1032	грубый	rude
1033	правый	right-winger
1034	довольно	quite, rather, pretty, fairly
1035	шесть	six, 6
1036	вниз	down, downwards
1037	вокруг	around
